Origin,Destination,TravelTime
2835,2033,31709.5
2880,2033,53093.387
2666,2033,16795.32
2794,2033,15225.651
2400,2033,28945.188
2370,2033,26413.957
2594,2033,13881.391
2590,2033,15722.601
2700,2033,21913.904
2365,2033,23714.424
2871,2033,19745.775
2710,2033,28670.209
2360,2033,30145.518
2646,2033,23668.1
2663,2033,16354.297
2870,2033,18393.109
2372,2033,31948.461
2705,2033,22929.332
2671,2033,20272.01
2787,2033,19653.311
2720,2033,17524.914
2821,2033,21483.387
2790,2033,10870.698
2333,2033,12934.724
2820,2033,17399.312
2340,2033,18062.275
2641,2033,20061.621
2680,2033,24497.008
2350,2033,22843.846
2460,2033,25534.799
2440,2033,20497.938
2830,2033,18791.871
2640,2033,19893.484
2770,2033,2813.503
2380,2033,18591.949
2580,2033,7552.685
2795,2033,15488.673
2390,2033,22102.582
2430,2033,13386.729
2650,2033,17156.166
2470,2033,30784.336
2474,2033,31517.264
2731,2033,33043.305
2337,2033,13361.378
2326,2033,7170.386
2431,2033,18041.648
2463,2033,27075.715
2800,2033,13088.54
2427,2033,14987.19
2327,2033,6926.011
2325,2033,7824.558
2564,2033,2126.373
2480,2033,30601.652
2850,2033,12957.968
2446,2033,19264.291
2335,2033,8059.002
2420,2033,11673.576
2455,2033,20272.359
2785,2033,8153.594
2750,2033,3193.924
2630,2033,15063.411
2560,2033,3722.667
2540,2033,6749.619
2541,2033,9213.207
2747,2033,2892.198
2324,2033,10667.386
2168,2033,2187.389
2447,2033,20281.428
2262,2033,5226.595
2443,2033,14456.654
2448,2033,19547.748
2263,2033,5869.327
2760,2033,2899.271
2320,2033,7501.347
2550,2033,19385.086
2546,2033,15687.075
2264,2033,5841.19
2166,2033,1983.045
2330,2033,9871.183
2566,2033,2204.143
2752,2033,3888.453
2558,2033,2389.779
2265,2033,6925.652
2779,2033,4501.24
2573,2033,4047.709
2283,2033,6330.877
2321,2033,8282.905
2323,2033,7403.149
2322,2033,7139.1
2258,2033,4701.948
2259,2033,5507.958
2539,2033,11229.912
2777,2033,3842.844
2317,2033,9883.869
2319,2033,9180.961
2767,2033,2561.086
2749,2033,3805.345
2536,2033,13145.286
2753,2033,4638.085
2754,2033,4028.773
2782,2033,5172.917
2579,2033,6626.004
2766,2033,2414.14
2780,2033,7225.904
2537,2033,14592.825
2444,2033,15552.438
2761,2033,2751.122
2148,2033,2329.696
2577,2033,5465.69
2582,2033,11152.78
2756,2033,5225.464
2428,2033,13182.73
2571,2033,5338.442
2318,2033,8265.315
2147,2033,2664.618
2502,2033,4321.729
2445,2033,15294.903
2505,2033,4707.103
2549,2033,20150.559
2163,2033,1909.631
2165,2033,2177.746
2464,2033,26193.314
2759,2033,2775.816
2506,2033,4209.007
2299,2033,7033.308
2250,2033,4896.593
2164,2033,2447.39
2256,2033,4646.212
2473,2033,26521.162
2170,2033,1721.856
2261,2033,5721.914
2745,2033,3065.971
2526,2033,4583.227
2575,2033,5821.379
2284,2033,6790.477
2452,2033,20417.023
2177,2033,2244.6
2281,2033,6303.882
2307,2033,7260.232
2161,2033,2187.918
2454,2033,21289.76
2456,2033,22945.338
2567,2033,2569.051
2285,2033,6808.313
2763,2033,2893.902
2528,2033,4717.847
2146,2033,2381.256
2287,2033,7083.572
2450,2033,25057.842
2315,2033,10300.119
2477,2033,28151.16
2280,2033,6859.44
2173,2033,9752.052
2570,2033,4448.008
2565,2033,1967.486
2143,2033,1916.67
2176,2033,2339.243
2298,2033,7163.607
2548,2033,20233.674
2530,2033,4558.763
2295,2033,7802.174
2290,2033,7130.718
2774,2033,3675.334
2167,2033,2103.021
2282,2033,7056.607
2304,2033,7386.369
2162,2033,1946.413
2257,2033,5147.969
2620,2033,10388.557
2251,2033,5030.863
2519,2033,4118.692
2171,2033,2107.623
2527,2033,4726.464
2557,2033,2421.535
2179,2033,2269.967
2525,2033,4401.263
2199,2033,1666.209
2292,2033,7469.832
2145,2033,2164.557
2296,2033,7299.302
2765,2033,3232.206
2294,2033,7542.283
2142,2033,1816.019
2289,2033,7455.617
2305,2033,7390.188
2160,2033,1984.062
2197,2033,1757.754
2762,2033,2984.715
2518,2033,3900.346
2529,2033,4867.538
2534,2033,6262.549
2576,2033,5356.039
2200,2033,1581.814
2144,2033,1908.516
2213,2033,1573.407
2152,2033,2181.337
2478,2033,27681.578
2198,2033,1667.329
2484,2033,31972.732
2218,2033,1181.605
2535,2033,6223.408
2116,2033,1918.873
2190,2033,1485.16
2768,2033,2700.316
2533,2033,5502.96
2195,2033,1231.226
2210,2033,1183.19
2489,2033,29967.928
2151,2033,2156.719
2486,2033,31364.449
2211,2033,1420.117
2117,2033,2064.892
2303,2033,7282.221
2500,2033,3791.558
2482,2033,30134.717
2212,2033,1468.652
2150,2033,2081.365
2115,2033,1824.853
2260,2033,4888.027
2155,2033,2702.988
2153,2033,2550.989
2196,2033,1245.365
2118,2033,2154.19
2769,2033,3009.652
2222,2033,1235.229
2300,2033,7537.326
2223,2033,1469.79
2293,2033,7442.881
2154,2033,2546.015
2485,2033,31218.691
2120,2033,2286.995
2226,2033,1871.733
2125,2033,2290.687
2517,2033,3661.117
2483,2033,29689.951
2136,2033,1570.45
2209,2033,1092.78
2192,2033,1225.109
2194,2033,1322.721
2508,2033,2962.881
2141,2033,1704.267
2228,2033,1431.114
2077,2033,2742.073
2221,2033,1234.119
2208,2033,1099.775
2122,2033,2092.11
2220,2033,1185.226
2234,2033,1798.709
2488,2033,30435.504
2291,2033,7517.873
2207,2033,1040.268
2233,2033,2477.642
2131,2033,1312.416
2140,2033,1764.73
2112,2033,1913.818
2216,2033,794.349
2114,2033,2069.891
2232,2033,1853.973
2121,2033,2072.981
2203,2033,1272.307
2076,2033,2397.566
2487,2033,30666.363
2206,2033,1231.794
2229,2033,1534.96
2133,2033,1556.373
2193,2033,1263.862
2126,2033,2379.705
2219,2033,1056.32
2515,2033,3139.147
2227,2033,1709.142
2217,2033,908.21
2135,2033,1681.414
2204,2033,1117.202
2479,2033,28608.783
2224,2033,1358.115
2074,2033,2285.946
2066,2033,1568.954
2119,2033,2068.682
2111,2033,1751.253
2481,2033,29410.602
2046,2033,1456.524
2062,2033,1305.461
2073,2033,2252.185
2049,2033,1061.172
2075,2033,2163.513
2064,2033,1490.688
2113,2033,1686.396
2127,2033,1627.964
2044,2033,873.122
2047,2033,1423.307
2134,2033,1605.06
2101,2033,2929.547
2205,2033,961.244
2072,2033,1945.406
2230,2033,2910.896
2137,2033,1634.635
2087,2033,1941.146
2086,2033,2126.199
2071,2033,2004.703
2040,2033,1344.306
2130,2033,1180.924
2100,2033,2189.138
2016,2033,823.81
2042,2033,858.065
2138,2033,1629.885
2032,2033,705.694
2019,2033,555.105
2035,2033,764.952
2067,2033,1888.288
2070,2033,1899.64
2068,2033,1499.394
2037,2033,1109.612
2099,2033,2321.777
2033,2033,0.0
